Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,date,Return,Amihud_daily,Amihud_30d
2010-07-17,0.04951,0.04951,0.04951,0.04951,20.0,0.9902,0.04951,2010-07-17,,,
2010-07-18,0.05941,0.08585,0.05941,0.08584,75.01,5.0919941,0.06788420344,2010-07-18,0.7337911533023631,0.14410683494357607,
2010-07-19,0.0909,0.09307,0.07723,0.0808,574.0,49.6613,0.086517944251,2010-07-19,-0.05871388630009322,0.001182286534989886,
2010-07-20,0.08181,0.08181,0.07426,0.07474,262.0,20.58952,0.078585954198,2010-07-20,-0.07499999999999996,0.0036426298427549527,
2010-07-21,0.07425,0.07921,0.06634,0.07921,575.0,42.2622,0.073499478261,2010-07-21,0.059807332084559794,0.0014151495209563107,
2010-07-22,0.07921,0.08181,0.0505,0.0505,2160.0,129.78428,0.060085314815,2010-07-22,-0.36245423557631606,0.002792743740430783,
2010-07-23,0.0505,0.06767,0.0505,0.06262,2402.5,141.0650511,0.058715942185,2010-07-23,0.23999999999999977,0.0017013427360534927,
2010-07-24,0.06161,0.06161,0.05049,0.05454,496.32,26.7277095,0.053851768013,2010-07-24,-0.12903225806451613,0.004827658653822025,
2010-07-25,0.05545,0.05941,0.0505,0.0505,1551.48,85.062975,0.054826987779,2010-07-25,-0.07407407407407396,0.0008708145238756811,
2010-07-26,0.05,0.056,0.05,0.056,877.0,46.907,0.053485746864,2010-07-26,0.10891089108910879,0.0023218472954806063,
2010-07-27,0.053,0.0605,0.053,0.06,3373.69,196.91835,0.058368833532,2010-07-27,0.0714285714285714,0.0003627319212687461,
2010-07-28,0.06,0.062,0.054,0.0589,4390.29,255.759194,0.058255649171,2010-07-28,-0.018333333333333313,7.168201090488779e-05,
2010-07-29,0.0597,0.0699,0.0571,0.0699,8058.49,528.3183128,0.065560460185,2010-07-29,0.18675721561969438,0.0003534937387082267,
2010-07-30,0.0698,0.0698,0.0582,0.0627,3020.85,198.5299149,0.065719885099,2010-07-30,-0.10300429184549353,0.0005188351181099184,
2010-07-31,0.065,0.06889,0.056,0.06785,4022.25,243.898458,0.060637319411,2010-07-31,0.0821371610845294,0.0003367678572388899,
2010-08-01,0.061,0.065,0.06,0.0611,2601.0,162.6451925,0.06253179258,2010-08-01,-0.09948415622697115,0.0006116636753771321,
2010-08-02,0.0627,0.0633,0.06,0.06,3599.0,221.20058,0.061461678244,2010-08-02,-0.018003273322422353,8.138890649573502e-05,
2010-08-03,0.06,0.065,0.059,0.06,9821.46,606.0456913,0.061706272927,2010-08-03,0.0,0.0,
2010-08-04,0.06229,0.06231,0.057,0.057,3494.0,210.765111,0.060322012307,2010-08-04,-0.04999999999999993,0.00023723091437083217,
2010-08-05,0.0581,0.061,0.058,0.061,5034.07,303.609091,0.06031086,2010-08-05,0.07017543859649122,0.0002311374747223601,
2010-08-06,0.062,0.0624,0.0607,0.0623,1395.0,85.908,0.061582795699,2010-08-06,0.021311475409836023,0.0002480732342719656,
2010-08-07,0.0608,0.0622,0.059,0.059,2619.0,157.3408,0.060076670485,2010-08-07,-0.052969502407704705,0.00033665458932269766,
2010-08-08,0.059,0.061,0.059,0.0609,2201.0,132.5954,0.060243253067,2010-08-08,0.03220338983050852,0.00024286958544948405,
2010-08-09,0.06091,0.0735,0.0593,0.071,13631.09,886.9327103,0.065066895626,2010-08-09,0.1658456486042692,0.00018698785903180056,
2010-08-10,0.068,0.0709,0.06651,0.07,1310.39,88.8736329,0.067822276498,2010-08-10,-0.014084507042253391,0.00015847790376816463,
2010-08-11,0.06,0.07541,0.06,0.067,14061.18,1015.6416825,0.07223018854,2010-08-11,-0.04285714285714293,4.219710907458047e-05,
2010-08-12,0.068,0.07,0.06141,0.07,2062.31,134.4872288,0.065211936518,2010-08-12,0.044776119402985204,0.0003329395646152626,
2010-08-13,0.0665,0.068,0.0645,0.0645,3591.77,233.8004368,0.065093376469,2010-08-13,-0.07857142857142863,0.00033606194088782226,
2010-08-14,0.0655,0.0695,0.0645,0.067,4404.2,295.3084789,0.067051559625,2010-08-14,0.03875968992248069,0.00013125153082924464,
2010-08-15,0.067,0.067,0.065,0.06529,4462.866,294.94926945,0.066089653924,2010-08-15,-0.02552238805970153,8.653145033142082e-05,
2010-08-16,0.06319,0.0679,0.062,0.0655,10731.468,696.80254899,0.064930776385,2010-08-16,0.003216419053453823,4.615969126571009e-06,0.005592430004861519
2010-08-17,0.0655,0.0769,0.06243,0.07,13185.74,915.0003158,0.069393171396,2010-08-17,0.06870229007633588,7.508444411439173e-05,0.0007913716548794623
2010-08-18,0.06999,0.0733,0.067,0.068,2953.975,203.82833613,0.069001374802,2010-08-18,-0.02857142857142858,0.00014017397734732018,0.0007566345696247101
2010-08-19,0.0679,0.0679,0.0667,0.0667,741.115,50.0425085,0.067523270343,2010-08-19,-0.019117647058823684,0.0003820281523022309,0.0006479478466096194
2010-08-20,0.0667,0.0667,0.065,0.0655,4199.747,276.4108105,0.065816062372,2010-08-20,-0.01799100449775104,6.508791919247688e-05,0.0006029457932174916
